Item,Review Title,Stars,Is_Positive?
Texas Instruments TI-83 Plus Graphing Calculator,"Nice item- as we used to say: ""Works fine, lasts a long time"".",5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Cheap,3 stars,0
Texas Instruments TI-83 Plus Graphing Calculator,Texas Instruments TI-83 Plus Graphic Calculator,4 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,TI-83,4 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,"Handy calculator, solid and functional",4 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Used Ti- 83 Plus Calculator,4 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Texas Instruments TI-83 Plus Graphic Calculator,4 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,A Calculator for Life,4 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Love the TI-83 Plus,4 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,TI-83 PLUS IS ON THE MARK,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Buy the Ti-Connect cable and software to make this calculator do all work.,4 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Economical and Powerful Calculator,4 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,a tool that a student cannot do without,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Great for algebra 1 students,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Cheap,3 stars,0
Texas Instruments TI-83 Plus Graphing Calculator,"Great product, BUT",4 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,The TI-83 Plus Graphing Calculator,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,TI-83 Plus Graphic Calculator,4 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Product matched description by seller.,4 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,"TI-83 Plus, must enjoy reading!",4 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Decent calculator if you can get it for a good price.,4 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Great Calculator!,4 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Great.... For 1999,3 stars,0
Texas Instruments TI-83 Plus Graphing Calculator,great graphing calculator,4 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,"Lightweight, nice cover, tons of features, very helpful!",4 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Clearly a good option vs. buying a new one,4 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Excellent Condition (Like Brand New),5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,"Great calculator for all levels of math, easy to use",4 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Texas Instruments TI-83 series of graphic calculators,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,"After 30 years, I've even named them. They're family. Junior, Baby, Bertha.",5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Ti83+ calc. Review 2019,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Pretty good,4 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,The Ubiquitous Calculator,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Works as advertised but hard to see screen.,3 stars,0
Texas Instruments TI-83 Plus Graphing Calculator,My favorite entry level graphing calculator.,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Thank you!,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Texas Instruments TI-83 Plus Graphic Calculator,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Thumbs up,4 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Great Value,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,"Great calculator, easy to learn.",4 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,TI 83 Plus SE,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,"Nice, good.",4 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Product is in great shape and has many useful features.,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Excellent Calculator,4 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,most reliable and convenient graphing calculator,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Wrong one to buy today,4 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Lightweight with great features,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,TI-83 is Awesome!!,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,it works....but has a spot on the display,3 stars,0
Texas Instruments TI-83 Plus Graphing Calculator,Great deal!,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Texas Instruments TI-83 Plus Graphic Calculator,4 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Great condition! Great price!,4 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Awesome!,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Texas Instruments 83 Plus Graphic Calculator,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Great Brand New TI 83 Calculator,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Good calculator,4 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,TI 83 Calculator,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,"Excellent, reliable calculator; wish it came with cable",5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Great tool!,4 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,"Unreliable display, fairly displeased",1 stars,0
Texas Instruments TI-83 Plus Graphing Calculator,Obviously Not New,2 stars,0
Texas Instruments TI-83 Plus Graphing Calculator,TI-83 Calculator,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Lifesaver for a good price,4 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,TI-83,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Great visibility on screen and easy to use.,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Awesome,5 stars,1
